               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085666,             0.05561,            0.057666,             0.56062,             0.43506,             0.28398,            0.092723,            0.047438,            0.054029,            0.043732,              0.0712,              0.0032,              0.0032
                   1,            0.059262,            0.040797,            0.048247,             0.29524,             0.37902,             0.34384,             0.12479,            0.051433,            0.020337,            0.037732,            0.041457,           0.0064571,           0.0064571
                   2,            0.061559,            0.037531,            0.040164,             0.59587,             0.54002,             0.53493,             0.18595,            0.052135,            0.015397,            0.023665,            0.011671,           0.0096706,           0.0096706
                   3,            0.058707,            0.033967,            0.030184,             0.53694,             0.84503,             0.75433,             0.37725,            0.039017,            0.015528,            0.017408,            0.009802,            0.009802,            0.009802
                   4,            0.048306,            0.031715,            0.023367,             0.44285,             0.91137,             0.69761,             0.31011,            0.036798,            0.016004,            0.014081,            0.009802,            0.009802,            0.009802
                   5,             0.04454,            0.029715,            0.019316,             0.55777,             0.93053,              0.8197,              0.4416,            0.029225,            0.013968,            0.011962,            0.009736,            0.009736,            0.009736
                   6,             0.04022,            0.030722,            0.016218,             0.69562,               0.944,               0.916,             0.55956,            0.026936,            0.013136,            0.010172,             0.00967,             0.00967,             0.00967
                   7,            0.037771,            0.028316,            0.014755,              0.6032,             0.98245,             0.89632,                0.58,            0.025636,            0.014678,           0.0089756,            0.009604,            0.009604,            0.009604
                   8,            0.036314,            0.027077,            0.012951,             0.92311,             0.98029,             0.98133,             0.66329,            0.022724,            0.013653,           0.0099844,            0.009538,            0.009538,            0.009538
                   9,            0.035055,             0.02757,            0.011178,             0.95572,             0.99618,             0.99325,              0.6825,            0.021466,            0.013104,           0.0067713,            0.009472,            0.009472,            0.009472
                  10,            0.033166,            0.026274,           0.0093572,             0.96556,             0.99934,               0.995,             0.75205,            0.019702,            0.011869,           0.0058727,            0.009406,            0.009406,            0.009406
                  11,            0.031498,            0.026063,           0.0096316,             0.92834,             0.98367,             0.99228,              0.7311,            0.021832,            0.012034,           0.0049242,             0.00934,             0.00934,             0.00934
                  12,            0.031029,            0.026327,           0.0084326,             0.98602,              0.9998,               0.995,             0.79357,            0.017491,            0.011299,           0.0043119,            0.009274,            0.009274,            0.009274
                  13,            0.030707,            0.025751,            0.007224,             0.98299,             0.99969,               0.995,             0.75889,            0.016024,            0.011363,           0.0038425,            0.009208,            0.009208,            0.009208
                  14,            0.030001,            0.026428,           0.0067573,             0.99239,                   1,               0.995,             0.80321,            0.017523,            0.011347,           0.0036606,            0.009142,            0.009142,            0.009142
                  15,            0.027155,            0.025606,           0.0059357,             0.99168,             0.99932,               0.995,             0.77814,            0.020864,            0.012148,           0.0031427,            0.009076,            0.009076,            0.009076
                  16,            0.026955,            0.025491,           0.0057695,             0.99535,                   1,               0.995,             0.81881,            0.017038,            0.010354,           0.0029486,             0.00901,             0.00901,             0.00901
                  17,            0.026836,            0.024807,           0.0055383,             0.99207,                   1,               0.995,             0.75553,            0.016818,            0.011156,           0.0029951,            0.008944,            0.008944,            0.008944
                  18,            0.026636,            0.024631,            0.005073,             0.99467,                   1,               0.995,             0.79292,            0.018809,            0.012027,           0.0026072,            0.008878,            0.008878,            0.008878
                  19,            0.026005,            0.024008,           0.0057524,             0.99296,                   1,               0.995,             0.81706,            0.016896,             0.01195,           0.0028803,            0.008812,            0.008812,            0.008812
                  20,            0.025828,            0.024692,            0.005449,             0.98693,                   1,               0.995,             0.80083,             0.01592,            0.011529,            0.002763,            0.008746,            0.008746,            0.008746
                  21,            0.026254,            0.025241,           0.0049243,             0.99317,             0.99802,               0.995,                 0.8,            0.017524,             0.01139,           0.0025183,             0.00868,             0.00868,             0.00868
                  22,            0.025571,            0.024388,           0.0049986,             0.99466,              0.9989,               0.995,             0.81766,            0.013187,            0.010347,           0.0024191,            0.008614,            0.008614,            0.008614
                  23,            0.023954,            0.025178,            0.004585,             0.99568,              0.9998,               0.995,             0.80414,            0.015753,             0.01047,           0.0023093,            0.008548,            0.008548,            0.008548
                  24,            0.024984,            0.023257,            0.004542,             0.99455,                   1,               0.995,             0.84705,            0.014213,           0.0099913,           0.0023216,            0.008482,            0.008482,            0.008482
